"Gene.name"	"Human.gene.name"
"18870"	"Ptafr"	"PTAFR"
"18886"	"Nr2f2"	"NR2F2"
"19317"	"Ace2"	"ACE2"
"19483"	"Gja5"	"GJA5"
"19518"	"Stk39"	"STK39"
"20209"	"Rps6ka2"	"RPS6KA2"
"20266"	"Bdkrb2"	"BDKRB2"
"20275"	"Bdkrb1"	"BDKRB1"
"20684"	"Postn"	"POSTN"
"20707"	"Abat"	"ABAT"
"21605"	"Tacr3"	"TACR3"
"21663"	"Hba-a1"	"HBA2"
"21664"	"Hba-a1"	"HBA1"
"21702"	"Emp2"	"EMP2"
"22517"	"Pcsk5"	"PCSK5"
"22552"	"Adipoq"	"ADIPOQ"
"22776"	"Tac2"	"TAC3"
"23137"	"Gja1"	"GJA1"
"23387"	"Atp1a1"	"ATP1A1"
"23626"	"Sod2"	"SOD2"
"23806"	"Nisch"	"NISCH"
"23941"	"Crhr2"	"CRHR2"
"24197"	"Uts2b"	"UTS2B"
"25043"	"Dll1"	"DLL1"
"25305"	"Adm"	"ADM"
"25347"	"Atp6ap2"	"ATP6AP2"
"25508"	"F2rl1"	"F2RL1"
"25527"	"F2r"	"F2R"
"25727"	"Bbs4"	"BBS4"
"25768"	"Ar"	"AR"
"26148"	"Ndst2"	"NDST2"
"26394"	"Lnpep"	"LNPEP"
"26806"	"Adh5"	"ADH5"
"26908"	"Adra1b"	"ADRA1B"
"28016"	"Trhde"	"TRHDE"
"28784"	"Kl"	"KL"
"29118"	"Ramp2"	"RAMP2"
"29577"	"Prcp"	"PRCP"
"29701"	"Anpep"	"ANPEP"
"30315"	"Cd36"	"CD36"
"30677"	"Plcb3"	"PLCB3"
"31089"	"Chga"	"CHGA"
"31437"	"Avpr1b"	"AVPR1B"
"31441"	"Mme"	"MME"
"32745"	"Gch1"	"GCH1"
"32774"	"Rnls"	"RNLS"
"32798"	"Ctsg"	"CTSG"
"33047"	"Hmox1"	"HMOX1"
"33205"	"Oxtr"	"OXTR"
"33215"	"Tnni3"	"TNNI3"
"33276"	"Cyp2j5"	""
"33409"	"Aoc3"	"AOC3"
"33585"	"Pomc"	"POMC"
"33770"	"Lep"	"LEP"
"33886"	"Brs3"	"BRS3"
"34155"	"Bmpr2"	"BMPR2"
"34651"	"Ptpro"	"PTPRO"
"34837"	"Sgk1"	"SGK1"
"35269"	"Calca"	"CALCA"
"35592"	"Oprl1"	"OPRL1"
"36726"	"Ddah1"	"DDAH1"
"36774"	"Nos2"	"NOS2"
"37123"	"Mif"	"MIF"
"37159"	"Smad3"	"SMAD3"
"37247"	"Guca2b"	"GUCA2B"
"37349"	"Edn2"	"EDN2"
"37513"	"Pdgfb"	"PDGFB"
"38064"	"Cd34"	"CD34"
"38089"	"Trpv4"	"TRPV4"
"38179"	"Hsd11b2"	"HSD11B2"
"38299"	"Agtr2"	"AGTR2"
"38401"	"Nos3"	"NOS3"
"38404"	"Pparg"	"PPARG"
"38848"	"Aopep"	"AOPEP"
"38898"	"Myh6"	"MYH6"
"40474"	"Ncald"	"NCALD"
"40551"	"Acvrl1"	"ACVRL1"
"40557"	"Avpr2"	"AVPR2"
"40685"	"Renbp"	"RENBP"
"40964"	"Asic2"	"ASIC2"
"41211"	"Mecp2"	"MECP2"
"41806"	"Npff"	"NPFF"
"42584"	"Cacna1c"	"CACNA1C"
"42865"	"Cyba"	"CYBA"
"43248"	"Gsk3a"	"GSK3A"
"43414"	"Tpm1"	"TPM1"
"43501"	"Cma1"	"CMA1"
"43536"	"Rasl10b"	"RASL10B"
"43537"	"Mcpt4"	""
"43627"	"Cnr1"	"CNR1"
"44200"	"Ffar3"	"FFAR3"
"44201"	"Ffar3"	"GPR42"
"44345"	"Agt"	"AGT"
"44957"	"Nos1"	"NOS1"
"45058"	"Qrfp"	"QRFP"
"45357"	"Wnk1"	"WNK1"
"45383"	"Cyp4f18"	"CYP4F3"
"45703"	"Acsm3"	"ACSM3"
"45989"	"Crh"	"CRH"
"46533"	"Slc4a5"	"SLC4A5"
"46989"	"Adra2b"	"ADRA2B"
"47109"	"Adrb3"	"ADRB3"
"47395"	"Ier3"	"IER3"
"47479"	"Tac1"	"TAC1"
"47515"	"Npr2"	"NPR2"
"47659"	"Atp1a2"	"ATP1A2"
"48197"	"Ptgs2"	"PTGS2"
"48218"	"Smtn"	"SMTN"
"48322"	"Npy1r"	"NPY1R"
"48489"	"Ucn"	"UCN"
"48522"	"Npr1"	"NPR1"
"48753"	"Cpa3"	"CPA3"
"48781"	"Agtr1b"	"AGTR1"
"49503"	"F11r"	"F11R"
"50178"	"Tbxa2r"	"TBXA2R"
"50210"	"Scnn1a"	"SCNN1A"
"50344"	"Ren1"	"REN"
"50591"	"Glp1r"	"GLP1R"
"50948"	"Rhoa"	"RHOA"
"51787"	"Scpep1"	"SCPEP1"
"52810"	"Gnb3"	"GNB3"
"53017"	"Ece1"	"ECE1"
"53340"	"Uts2"	"UTS2"
"54016"	"Drd2"	"DRD2"
"54687"	"Or51e2"	"OR51E2"
"54819"	"Grip2"	"GRIP2"
"55213"	"C3ar1"	"C3AR1"
"55324"	"Mc3r"	"MC3R"
"55376"	"P2rx1"	"P2RX1"
"56477"	"Mkks"	"MKKS"
"56685"	"Drd5"	"DRD5"
"57246"	"Emilin1"	"EMILIN1"
"57626"	"Sult1a1"	""
"57628"	"Tac4"	"TAC4"
"57692"	"Ptgs1"	"PTGS1"
"58032"	"Adora1"	"ADORA1"
"58095"	"Rnpep"	"RNPEP"
"59341"	"Gcgr"	"GCGR"
"59816"	"Ace"	"ACE"
"60140"	"Kcnk6"	"KCNK6"
"60705"	"Nmu"	"NMU"
"60714"	"Adra1d"	"ADRA1D"
"60922"	"P2rx2"	"P2RX2"
"61013"	"P2rx4"	"P2RX4"
"61568"	"Hrh3"	"HRH3"
"61873"	"Eng"	"ENG"
"62089"	"Nav2"	"NAV2"
"62186"	"Oxt"	""
"62187"	"Avp"	"AVP"
"62295"	"Uts2r"	""
"62473"	"Ctsz"	"CTSZ"
"62508"	"Edn3"	"EDN3"
"62630"	"Cacna1b"	"CACNA1B"
"62970"	"Gnas"	"GNAS"
"1865"	"Klk1c8"	"KLK1"
"1993"	"Klk1c12"	"KLK1"
"2100"	"Klk1c3"	"KLK1"
"2563"	"Klk1c9"	"KLK1"
"2796"	"Olr59"	"OR51E2"
"2910"	"Klk1c6"	"KLK1"
"3062"	"Klk1c2"	"KLK1"
"3784"	"Tac1"	""
"8043"	"Gnas"	""
"13220"	"Tac3"	"TAC3"
"17834"	"Hbb"	""
"24562"	"Ren"	"REN"
"25420"	"Apln"	""
"28287"	"Cyp11b3"	""
"28654"	"G6pd"	"G6PD"
"23977"	"Cyp4a30b"	"CYP4F12"
"23978"	"Cyp4a30b"	"CYP4A11"
"23995"	"Cyp4a10"	"CYP4F12"
"23996"	"Cyp4a10"	"CYP4A11"
"24044"	"Cyp4a31"	"CYP4F12"
"24045"	"Cyp4a31"	"CYP4A11"
"24054"	"Cyp4a32"	"CYP4F12"
"24055"	"Cyp4a32"	"CYP4A11"
"38935"	"Cyp4f40"	"CYP4F2"
"38945"	"Cyp4f15"	"CYP4F2"
"39038"	"Cyp4f14"	"CYP4F2"
"1727"	""	"KLK2"
"1728"	""	"KLK3"
"7692"	"Cyp4a3"	"CYP4F12"
"7693"	"Cyp4a3"	"CYP4A11"
"10394"	"Cyp4f1"	"CYP4F2"
"19646"	"Cyp4a1"	"CYP4F12"
"19647"	"Cyp4a1"	"CYP4A11"
"29147"	"Cyp4f4"	"CYP4F2"
